Apellido;Frecuencia apellido 1
GARCIA;1449647
RODRIGUEZ;926207
GONZALEZ;921956
FERNANDEZ;902331
LOPEZ;865941
MARTINEZ;828051
SANCHEZ;813023
PEREZ;774072
GOMEZ;490272
MARTIN;480907
JIMENEZ;395270
HERNANDEZ;368399
RUIZ;365115
DIAZ;341764
MORENO;320849
MUÑOZ;281688
ALVAREZ;278687
ROMERO;222682
GUTIERREZ;195349
ALONSO;192433
NAVARRO;176793
TORRES;172575
DOMINGUEZ;156696
RAMOS;145989
VAZQUEZ;145446
RAMIREZ;143825
GIL;138668
SERRANO;130269
MORALES;122606
MOLINA;122437
BLANCO;121577
SUAREZ;120589
CASTRO;117964
ORTEGA;117459
DELGADO;117354
ORTIZ;109256
MARIN;105031
RUBIO;103079
NUÑEZ;92038
MEDINA;90833
SANZ;90510
CASTILLO;87837
IGLESIAS;87270
CORTES;87175
GARRIDO;84533
SANTOS;84149
GUERRERO;80131
LOZANO;79525
CANO;76868
CRUZ;74205
MENDEZ;74013
FLORES;73338
PRIETO;72653
HERRERA;72217
PEÑA;70401
LEON;70309
MARQUEZ;69914
CABRERA;69476
GALLEGO;68758
CALVO;68337
VIDAL;67713
CAMPOS;66549
REYES;65462
VEGA;64971
FUENTES;64319
CARRASCO;62849
DIEZ;60933
AGUILAR;60919
CABALLERO;60659
NIETO;59905
SANTANA;58182
VARGAS;57049
PASCUAL;56580
GIMENEZ;56397
HERRERO;56329
HIDALGO;56197
MONTERO;56187
LORENZO;55664
SANTIAGO;54844
BENITEZ;54345
DURAN;54301
IBAÑEZ;54160
ARIAS;53481
MORA;53479
FERRER;53289
CARMONA;52062
VICENTE;51411
ROJAS;49994
SOTO;49145
CRESPO;48741
ROMAN;48327
PASTOR;46899
VELASCO;46534
PARRA;46340
SAEZ;45949
MOYA;45407
BRAVO;45095
RIVERA;44769
GALLARDO;44677
SOLER;44524
ESTEBAN;43953
SILVA;43707
FRANCO;43329
PARDO;43262
RIVAS;42989
LARA;42286
MERINO;41993
ESPINOSA;41518
MENDOZA;41405
CAMACHO;41048
VERA;40845
RIOS;40653
IZQUIERDO;40414
ARROYO;39457
CASADO;39277
SIERRA;39198
REDONDO;39072
LUQUE;38997
MONTES;38928
REY;38826
GALAN;38800
CARRILLO;38675
OTERO;38508
SEGURA;38341
HEREDIA;37161
BERNAL;36791
MARCOS;36761
SORIANO;36459
ROBLES;36166
CONTRERAS;35751
MARTI;35637
PALACIOS;35563
VALERO;35414
GUERRA;34816
MACIAS;34718
VILA;34648
VARELA;34646
PEREIRA;34528
EXPOSITO;34333
MIRANDA;33888
ROLDAN;33666
BENITO;33527
MATEO;33375
BUENO;33337
ANDRES;33034
GUILLEN;32879
VILLAR;32408
AGUILERA;32401
SALAZAR;32345
ACOSTA;31920
ESCUDERO;31877
MATEOS;31690
PADILLA;31485
CALDERON;31465
RIVERO;31396
GUZMAN;31009
CASAS;30831
APARICIO;30665
BELTRAN;30356
SALAS;30261
ESTEVEZ;30184
GALVEZ;30144
BERMUDEZ;30122
RICO;29613
JURADO;29558
MENENDEZ;29496
CONDE;29371
QUINTANA;29365
ARANDA;29095
PLAZA;28926
AVILA;28919
ABAD;28861
GRACIA;28676
HURTADO;28557
TRUJILLO;28411
ESCOBAR;28345
BLAZQUEZ;28067
PACHECO;28030
MANZANO;27854
VILLANUEVA;27838
SANTAMARIA;27785
ROCA;27680
COSTA;27674
RUEDA;27498
SERRA;27043
CUESTA;26930
MIGUEL;26871
MESA;26852
TOMAS;26569
LUNA;26471
DE LA FUENTE;26209
CASTAÑO;26083
MALDONADO;26070
SIMON;26065
ALARCON;26040
DEL RIO;25924
ZAMORA;25899
MILLAN;25769
PAREDES;25719
LAZARO;25610
PONS;25536
MONTOYA;25479
SANCHO;25417
CHEN;25348
BAUTISTA;24896
BLASCO;24663
PONCE;24552
SALVADOR;24513
DE LA CRUZ;24502
BALLESTEROS;24381
VALVERDE;24368
BERMEJO;24315
VALLE;23947
OLIVA;23926
MURILLO;23923
CORDERO;23782
ANTON;23634
AMADOR;23305
VALENCIA;23302
CUEVAS;23258
ORDOÑEZ;23051
LORENTE;22976
BARRERA;22812
POZO;22752
RODRIGO;22645
COLLADO;22523
CUENCA;22503
MARTOS;22475
MAS;22248
JUAN;22190
QUESADA;22122
BARROSO;22115
DE LA TORRE;21916
PULIDO;21726
NAVAS;21613
ARENAS;21592
ROS;21451
ALBA;21393
MARCO;21350
CABELLO;21315
MENA;21123
GALINDO;21112
AGUIRRE;21074
VALLEJO;20953
SINGH;20931
SORIA;20898
ROJO;20819
CORRAL;20816
CARO;20714
PAZ;20709
GIMENO;20646
AGUADO;20611
ESCRIBANO;20539
NARANJO;20539
LUCAS;20452
VILLALBA;20449
SAIZ;20405
PUIG;20378
LINARES;20360
MATA;20280
DOMINGO;20277
REINA;20233
ASENSIO;20162
POLO;20133
OJEDA;20064
SOSA;20044
BONILLA;20004
MORAN;19973
LEAL;19914
RAMON;19905
MOHAMED;19562
CARDENAS;19433
BURGOS;19408
CACERES;19226
CORREA;18872
ZAPATA;18865
CARRETERO;18852
CHACON;18605
QUINTERO;18439
ARAGON;18419
OLIVER;18362
CORDOBA;18348
PINEDA;18190
CARRION;18098
CASTELLANO;18079
VILLA;18057
SAAVEDRA;18012
ROSA;17993
CALERO;17739
CLEMENTE;17685
JUAREZ;17671
VELAZQUEZ;17665
TOLEDO;17489
ROIG;17475
AYALA;17459
CARRERA;17374
BARRIOS;17356
VILLEGAS;17214
ALCARAZ;17151
CAMARA;17148
SALGADO;17123
HERNANDO;17111
ANDREU;17093
COBO;17058
FERREIRA;16941
VELA;16782
RIERA;16681
SOLA;16673
MORAL;16476
SEVILLA;16457
DOMENECH;16440
ALFONSO;16422
LLORENTE;16397
CARBONELL;16363
PRADO;16353
SOLIS;16315
SALINAS;16290
REQUENA;16275
CARDONA;16144
OLIVARES;16139
PINTO;16136
PELAEZ;16136
LUIS;16032
CARBALLO;15940
ARRIBAS;15868
DE LA ROSA;15820
PIÑEIRO;15671
RINCON;15641
PEREA;15525
FONT;15477
PALMA;15401
AREVALO;15386
MARRERO;15361
DA SILVA;15353
ESTEVE;15294
CASTILLA;15218
CANTERO;15200
GRAU;15123
MARQUES;15074
BOSCH;14996
PORRAS;14965
PINO;14883
CID;14858
BALLESTER;14803
BAENA;14797
CASANOVA;14746
PALOMO;14702
SANCHIS;14675
VELEZ;14667
ANGULO;14607
VENTURA;14577
BELMONTE;14518
OCHOA;14461
NICOLAS;14454
BARBA;14440
LAGO;14375
RECIO;14364
MIRALLES;14320
MADRID;14315
PERALTA;14265
COBOS;14213
WANG;14187
CASTELLANOS;14114
BECERRA;14090
SALA;14043
DUARTE;14036
ESTRADA;14034
CABEZAS;14028
MUÑIZ;14006
HERRANZ;13999
ARRANZ;13943
ALFARO;13869
BELLO;13802
BARREIRO;13801
CUADRADO;13796
NAVARRETE;13787
VERGARA;13777
GRANADOS;13776
LIN;13748
TAPIA;13744
ALCANTARA;13698
VAQUERO;13689
COLL;13672
OCAÑA;13623
CERVERA;13604
VASQUEZ;13568
GODOY;13538
GAMEZ;13499
CORRALES;13466
FAJARDO;13440
PUENTE;13395
ZAMBRANO;13343
MEJIAS;13314
ROSALES;13302
CARVAJAL;13272
TORO;13209
FIGUEROA;13150
FALCON;13091
VALENZUELA;12998
AHMED;12970
BARRAGAN;12969
AMAYA;12963
LATORRE;12945
LOSADA;12942
CAMPO;12873
SEGOVIA;12872
EGEA;12842
PUJOL;12835
PAVON;12823
VALLS;12788
RUANO;12784
HUERTAS;12752
DAVILA;12677
PORTILLO;12648
ARIZA;12628
SASTRE;12617
CATALAN;12584
ROVIRA;12580
ALVARADO;12574
CEREZO;12572
DUQUE;12556
MORILLO;12538
CEBRIAN;12508
FRAILE;12505
BORREGO;12497
ARJONA;12468
DEL VALLE;12413
BARBERO;12383
MORCILLO;12379
VALDES;12317
MOSQUERA;12317
OSORIO;12311
GUIJARRO;12240
MEJIA;12175
AZNAR;12148
PEINADO;12148
ROMERA;12090
FERREIRO;12061
CANOVAS;12051
ALCAIDE;12023
