Nombre;Frecuencia
MARIA CARMEN;636109 
MARIA;568535 
CARMEN;357905 
ANA MARIA;268207 
LAURA;258046 
MARIA PILAR;256038 
MARIA DOLORES;249875 
ISABEL;249655 
JOSEFA;247271 
MARIA TERESA;243086 
ANA;242495 
MARTA;227834 
CRISTINA;226985 
MARIA ANGELES;219914 
LUCIA;214434 
MARIA ISABEL;202325 
MARIA JOSE;202287 
FRANCISCA;194475 
ANTONIA;188716 
DOLORES;175700 
PAULA;175287 
SARA;175133 
ELENA;160887 
MARIA LUISA;151913 
RAQUEL;147490 
ROSA MARIA;145760 
MANUELA;137035 
MARIA JESUS;134467 
PILAR;133695 
CONCEPCION;133195 
MERCEDES;128179 
JULIA;127083 
BEATRIZ;122687 
ALBA;122286 
SILVIA;120320 
NURIA;119880 
IRENE;117979 
PATRICIA;112197 
ROSARIO;110715 
JUANA;109340 
ROCIO;109029 
ANDREA;108829 
TERESA;107840 
ENCARNACION;106748 
MONTSERRAT;106395 
MONICA;103164 
ALICIA;100728 
MARIA MAR;99087 
SANDRA;98016 
SONIA;97917 
MARINA;97899 
SUSANA;95270 
ANGELA;94966 
NATALIA;94887 
ROSA;93402 
YOLANDA;91530 
SOFIA;88326 
CLAUDIA;86034 
MARGARITA;84697 
MARIA JOSEFA;83234 
CARLA;82477 
EVA;81731 
INMACULADA;77197 
MARIA ROSARIO;77073 
MARIA MERCEDES;76337 
ANA ISABEL;76092 
NOELIA;74133 
ESTHER;73274 
VERONICA;71776 
DANIELA;68928 
NEREA;67687 
CAROLINA;67465 
INES;63756 
MIRIAM;63275 
EVA MARIA;63206 
MARTINA;63007 
MARIA VICTORIA;62956 
LORENA;61923 
ANGELES;61288 
ANA BELEN;60560 
MARIA ELENA;60440 
MARIA ROSA;59953 
VICTORIA;59281 
MARIA CONCEPCION;58068 
ALEJANDRA;55728 
AMPARO;54918 
MARIA ANTONIA;54140 
LIDIA;53211 
CELIA;53087 
CATALINA;51368 
FATIMA;51104 
MARIA NIEVES;50792 
AINHOA;50769 
OLGA;49664 
CLARA;48352 
CONSUELO;47171 
MARIA CRISTINA;46856 
ADRIANA;46343 
GLORIA;46191 
MARIA SOLEDAD;46164 
ANNA;44906 
VANESA;44421 
EMILIA;44079 
AURORA;43836 
VIRGINIA;43577 
BLANCA;42728 
VALERIA;42565 
LUISA;42551 
ESPERANZA;42166 
EMMA;41659 
MARIA LUZ;41413 
MILAGROS;40885 
LOURDES;40110 
JOSEFINA;39711 
MARIA BELEN;39154 
LAIA;38423 
ISABEL MARIA;38196 
ESTEFANIA;38151 
PURIFICACION;37377 
BEGOÑA;37204 
NOA;36632 
GEMA;36193 
MARIA BEGOÑA;35979 
ELISA;35483 
MARIA ASUNCION;34225 
BELEN;34085 
MARIA LOURDES;34058 
MARIA ESTHER;33426 
TAMARA;33332 
VALENTINA;33215 
MARIA PAZ;33100 
AITANA;32844 
ARIADNA;32690 
MAGDALENA;32154 
ARACELI;32134 
REBECA;31493 
MIREIA;31111 
CARLOTA;31075 
PALOMA;30977 
GEMMA;30883 
ALMUDENA;30505 
VANESSA;30335 
MATILDE;30307 
MARIA INMACULADA;30123 
REMEDIOS;29848 
NOEMI;29679 
ELVIRA;29588 
ASUNCION;29585 
SOLEDAD;29280 
LARA;28611 
TRINIDAD;28501 
VICENTA;28424 
LEIRE;28255 
MARIA CRUZ;28246 
TANIA;28083 
NATIVIDAD;28002 
MARIA EUGENIA;27954 
DIANA;27878 
MARIA AMPARO;27494 
AINARA;26272 
ASCENSION;26162 
JESSICA;26141 
MARIA ROCIO;25088 
CANDELA;24975 
NIEVES;24844 
RAFAELA;24811 
CARMEN MARIA;24665 
ADELA;24630 
JUANA MARIA;24347 
AMELIA;23560 
AMALIA;23301 
FELISA;23249 
LOLA;22501 
ELISABET;22213 
LETICIA;21833 
AROA;21691 
JIMENA;21562 
GABRIELA;21551 
BARBARA;21259 
MARIANA;21196 
LEONOR;21002 
JUDITH;20904 
ESTER;20735 
NORA;20597 
BERTA;20147 
GUADALUPE;20007 
SHEILA;19945 
RAMONA;19905 
OLIVIA;19825 
JENNIFER;19761 
CECILIA;19705 
ALEXANDRA;19695 
MARIA MAGDALENA;19691 
JUDIT;19556 
HELENA;19555 
JOAQUINA;19277 
MARIA ENCARNACION;18751 
NADIA;18556 
ESTRELLA;18436 
ELSA;18315 
SORAYA;17994 
JULIANA;17980 
RUTH;17949 
ROSALIA;17886 
MARIA FRANCISCA;17735 
MARIA MONTSERRAT;17594 
MARIA YOLANDA;17411 
AGUSTINA;17408 
PETRA;17139 
ERIKA;16953 
NAIARA;16920 
ALMA;16849 
PAOLA;16585 
MAR;16576 
MARIA GLORIA;16513 
AINA;16505 
LEYRE;16256 
MARIA MILAGROS;16204 
ADORACION;16203 
VEGA;16198 
MARIA CONSUELO;16160 
VERA;15470 
AIDA;15455 
AFRICA;15365 
MACARENA;15232 
ABRIL;15097 
ESTELA;14771 
AMAIA;14666 
KHADIJA;14443 
TATIANA;14438 
YAIZA;14424 
ELISABETH;14011 
MARIA REYES;13906 
MARIA REMEDIOS;13901 
SARAY;13808 
IRIA;13780 
EUGENIA;13489 
AMANDA;13424 
IRIS;13279 
MARIA ARANZAZU;13250 
EULALIA;13065 
ITZIAR;12779 
MARIA TRINIDAD;12668 
JOANA;12659 
ARANZAZU;12564 
MARIA ESPERANZA;12490 
ANE;12409 
HERMINIA;12261 
MAITE;12127 
MARIA FERNANDA;12067 
ENRIQUETA;11668 
CHLOE;11420 
MIRIAN;11361 
ELIZABETH;11190 
PIEDAD;11182 
TRIANA;11077 
ANA ROSA;11054 
MIA;10949 
FLORENTINA;10756 
DESIREE;10748 
MERITXELL;10747 
VIOLETA;10698 
SALMA;10576 
NEUS;10541 
ANTONIA MARIA;10521 
MARIA SOL;10509 
LUNA;10286 
